loc_rowid,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,pmrapos,pmraneg,pmdecpos,pmdecneg,tranmidpos,tranmidneg,orbperpos,orbperneg,trandurhpos,trandurhneg,trandepos,trandepneg,radepos,radeneg,insolpos,insolneg,eqtpos,eqtneg,tmagpos,tmagneg,distpos,distneg,teffpos,teffneg,radpos,radneg
1,FP,-5.964,0.085,-0.085,0,-0.076,0.072,-0.072,0,2459229.63,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.77821,-37.77821,0,5.8181633,1.9105465,-1.9105465,0,22601.94858,0,0,0,3127.204052,0,0,0,9.604,0.013,-0.013,0,485.735,11.9515,-11.9515,0,10249,264.7,-264.7,0,2.16986,0.0725729,-0.0725729,0,-5.879,-6.049,-0.004,-0.148,2459229.632,2459229.628,2.1716121,2.1710847,2.3368075,1.6976317,694.6643089,619.1078889,7.7287098,3.9076168,22601.94858,22601.94858,3127.204052,3127.204052,9.617,9.591,497.6865,473.7835,10513.7,9984.3,2.2424329,2.0972871
2,PC,-4.956,0.102,-0.102,0,-15.555,0.072,-0.072,0,2459987.949,0.001916,-0.001916,0,1.9316462,0.0000053,-0.0000053,0,3.166,0.647,-0.647,0,1286,1186.49,-1186.49,0,11.2154,2.6242,-2.6242,0,44464.5,0,0,0,4045,0,0,0,9.42344,0.006,-0.006,0,295.862,5.91,-5.91,0,7070,126.4,-126.4,0,2.01,0.09,-0.09,0,-4.854,-5.058,-15.483,-15.627,2459987.951,2459987.947,1.9316515,1.9316409,3.813,2.519,2472.49,99.51,13.8396,8.5912,44464.5,44464.5,4045,4045,9.42944,9.41744,301.772,289.952,7196.4,6943.6,2.1,1.92
3,FP,-1.462,0.206,-0.206,0,-2.249,0.206,-0.206,0,2459224.688,0.000625,-0.000625,0,1.8675574,0.000003,-0.000003,0,1.408,0.184,-0.184,0,1500,1.7584,-1.7584,0,23.7529,0,0,0,2860.61,0,0,0,2037,0,0,0,9.299501,0.058,-0.058,0,943.109,106.333,-106.333,0,8924,124,-124,0,5.73,0,0,0,-1.256,-1.668,-2.043,-2.455,2459224.688,2459224.687,1.8675604,1.8675544,1.592,1.224,1501.7584,1498.2416,23.7529,23.7529,2860.61,2860.61,2037,2037,9.357501,9.241501,1049.442,836.776,9048,8800,5.73,5.73
4,FP,-0.939,0.041,-0.041,0,1.64,0.055,-0.055,0,2458493.396,0.00535,-0.00535,0,2.74323,0.00108,-0.00108,0,3.167,0.642,-0.642,0,383.41,0.781988,-0.781988,0,0,0,0,0,1177.36,0,0,0,1631,0,0,0,9.3003,0.037,-0.037,0,7728.17,1899.57,-1899.57,0,5388.5,567,-567,0,0,0,0,0,-0.898,-0.98,1.695,1.585,2458493.401,2458493.39,2.74431,2.74215,3.809,2.525,384.191988,382.628012,0,0,1177.36,1177.36,1631,1631,9.3373,9.2633,9627.74,5828.6,5955.5,4821.5,0,0
5,FP,-4.496,0.069,-0.069,0,9.347,0.062,-0.062,0,2459987.047,0.003748,-0.003748,0,3.5730141,0.0000128,-0.0000128,0,3.37,1.029,-1.029,0,755,1306.55,-1306.55,0,11.3113,3.24714,-3.24714,0,54679.3,0,0,0,4260,0,0,0,9.1355,0.006,-0.006,0,356.437,4.6175,-4.6175,0,9219,171.1,-171.1,0,2.15,0.06,-0.06,0,-4.427,-4.565,9.409,9.285,2459987.051,2459987.044,3.5730269,3.5730013,4.399,2.341,2061.55,-551.55,14.55844,8.06416,54679.3,54679.3,4260,4260,9.1415,9.1295,361.0545,351.8195,9390.1,9047.9,2.21,2.09
6,FP,-26.932,1.935,-1.935,0,-2.901,2.06,-2.06,0,2459985.157,0.000581,-0.000581,0,4.5505945,0.0000031,-0.0000031,0,2.654,0.339,-0.339,0,3731,123.723,-123.723,0,7.10841,0.474611,-0.474611,0,414.775,0,0,0,1257,0,0,0,9.1309,0.006,-0.006,0,100.711,14.121,-14.121,0,5613,179.9,-179.9,0,1.09,0.07,-0.07,0,-24.997,-28.867,-0.841,-4.961,2459985.157,2459985.156,4.5505976,4.5505914,2.993,2.315,3854.723,3607.277,7.583021,6.633799,414.775,414.775,1257,1257,9.1369,9.1249,114.832,86.59,5792.9,5433.1,1.16,1.02
7,FP,-29.1,2.6,-2.6,0,-6.8,2.2,-2.2,0,2459229.985,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.540219,81.38088,-81.38088,0,8.6950898,8.438766,-8.438766,0,1750.932635,0,0,0,1649.82207,0,0,0,9.2386,0.006,-0.006,0,0,0,0,0,6616,200,-200,0,1.53429,1.4887,-1.4887,0,-26.5,-31.7,-4.6,-9,2459229.987,2459229.982,2.5051994,2.5043842,4.4834117,4.2761009,2351.921099,2189.159339,17.1338558,0.2563238,1750.932635,1750.932635,1649.82207,1649.82207,9.2446,9.2326,0,0,6816,6416,3.02299,0.04559
8,PC,0.357,0.058,-0.058,0,3.399,0.045,-0.045,0,2459247.931,0.0013,-0.0013,0,6.9989206,0.0000137,-0.0000137,0,3.953,0.437,-0.437,0,2840,0.943618,-0.943618,0,14.7752,0.764705,-0.764705,0,448.744,0,0,0,1282,0,0,0,8.87759,0.006,-0.006,0,283.291,3.0025,-3.0025,0,6596,139.2,-139.2,0,2.7,0.13,-0.13,0,0.415,0.299,3.444,3.354,2459247.932,2459247.929,6.9989343,6.9989069,4.39,3.516,2840.943618,2839.056382,15.539905,14.010495,448.744,448.744,1282,1282,8.88359,8.87159,286.2935,280.2885,6735.2,6456.8,2.83,2.57
9,FP,-17.9,1.1,-1.1,0,1.3,1,-1,0,2460258.236,0.002805,-0.002805,0,2.0483755,0.0000055,-0.0000055,0,2.767,0.861,-0.861,0,483,41.94,-41.94,0,3.19621,0,0,0,5644.4,0,0,0,0,0,0,0,8.9362,0.012,-0.012,0,144.297,0,0,0,6858.5,584.6,-584.6,0,1.57,0,0,0,-16.8,-19,2.3,0.3,2460258.239,2460258.233,2.048381,2.04837,3.628,1.906,524.94,441.06,3.19621,3.19621,5644.4,5644.4,0,0,8.9482,8.9242,144.297,144.297,7443.1,6273.9,1.57,1.57
10,PC,-3.297,0.319,-0.319,0,4.849,0.358,-0.358,0,2459229.231,0.000389,-0.000389,0,1.9600277,0.0000025,-0.0000025,0,2.0065257,0.050591,-0.050591,0,1707.627269,49.601223,-49.601223,0,0,0,0,0,1063.342296,0,0,0,1456.424653,0,0,0,8.4331,0.028,-0.028,0,866.147,172.097,-172.097,0,8868.7,809.8,-809.8,0,0,0,0,0,-2.978,-3.616,5.207,4.491,2459229.231,2459229.231,1.9600302,1.9600252,2.0571167,1.9559347,1757.228492,1658.026046,0,0,1063.342296,1063.342296,1456.424653,1456.424653,8.4611,8.4051,1038.244,694.05,9678.5,8058.9,0,0
