loc_rowid,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
1,FP,-5.9640000,0.085,-0.085,0,-0.0760000,0.072,-0.072,0,2459229.6300460,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.7782100,-37.7782100,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,,,,3127.2040524,,,,9.6040000,0.013,-0.013,0,485.7350000,11.9515000,-11.9515000,0,10249.0000000,264.7000000,-264.7000000,0,2.1698600,0.0725729,-0.0725729,0
2,PC,-4.9560000,0.102,-0.102,0,-15.5550000,0.072,-0.072,0,2459987.9488730,0.001916,-0.001916,0,1.9316462,0.0000053,-0.0000053,0,3.1660000,0.6470000,-0.6470000,0,1286.0000000,1186.4900000,-1186.4900000,0,11.2154000,2.6242000,-2.6242000,0,44464.5000000,,,,4045.0000000,,,,9.4234400,0.006,-0.006,0,295.8620000,5.9100000,-5.9100000,0,7070.0000000,126.4000000,-126.4000000,0,2.0100000,0.0900000,-0.0900000,0
3,FP,-1.4620000,0.206,-0.206,0,-2.2490000,0.206,-0.206,0,2459224.6878020,0.000625,-0.000625,0,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0,1500.0000000,1.7584000,-1.7584000,0,23.7529000,,,0,2860.6100000,,,,2037.0000000,,,,9.2995010,0.058,-0.058,0,943.1090000,106.3330000,-106.3330000,0,8924.0000000,124.0000000,-124.0000000,0,5.7300000,,,0
4,FP,-0.9390000,0.041,-0.041,0,1.6400000,0.055,-0.055,0,2458493.3957000,0.005350,-0.005350,0,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0,383.4100000,0.7819880,-0.7819880,0,,,,0,1177.3600000,,,,1631.0000000,,,,9.3003000,0.037,-0.037,0,7728.1700000,1899.5700000,-1899.5700000,0,5388.5000000,567.0000000,-567.0000000,0,,,,0
5,FP,-4.4960000,0.069,-0.069,0,9.3470000,0.062,-0.062,0,2459987.0472620,0.003748,-0.003748,0,3.5730141,0.0000128,-0.0000128,0,3.3700000,1.0290000,-1.0290000,0,755.0000000,1306.5500000,-1306.5500000,0,11.3113000,3.2471400,-3.2471400,0,54679.3000000,,,,4260.0000000,,,,9.1355000,0.006,-0.006,0,356.4370000,4.6175000,-4.6175000,0,9219.0000000,171.1000000,-171.1000000,0,2.1500000,0.0600000,-0.0600000,0
6,FP,-26.9320000,1.935,-1.935,0,-2.9010000,2.060,-2.060,0,2459985.1568550,0.000581,-0.000581,0,4.5505945,0.0000031,-0.0000031,0,2.6540000,0.3390000,-0.3390000,0,3731.0000000,123.7230000,-123.7230000,0,7.1084100,0.4746110,-0.4746110,0,414.7750000,,,,1257.0000000,,,,9.1309000,0.006,-0.006,0,100.7110000,14.1210000,-14.1210000,0,5613.0000000,179.9000000,-179.9000000,0,1.0900000,0.0700000,-0.0700000,0
7,FP,-29.1000000,2.600,-2.600,0,-6.8000000,2.200,-2.200,0,2459229.9845790,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.3808800,-81.3808800,0,8.6950898,8.4387660,-8.4387660,0,1750.9326350,,,,1649.8220699,,,,9.2386000,0.006,-0.006,0,,,,0,6616.0000000,200.0000000,-200.0000000,0,1.5342900,1.4887000,-1.4887000,0
8,PC,0.3570000,0.058,-0.058,0,3.3990000,0.045,-0.045,0,2459247.9306950,0.001300,-0.001300,0,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0,2840.0000000,0.9436180,-0.9436180,0,14.7752000,0.7647050,-0.7647050,0,448.7440000,,,,1282.0000000,,,,8.8775900,0.006,-0.006,0,283.2910000,3.0025000,-3.0025000,0,6596.0000000,139.2000000,-139.2000000,0,2.7000000,0.1300000,-0.1300000,0
9,FP,-17.9000000,1.100,-1.100,0,1.3000000,1.000,-1.000,0,2460258.2361220,0.002805,-0.002805,0,2.0483755,0.0000055,-0.0000055,0,2.7670000,0.8610000,-0.8610000,0,483.0000000,41.9400000,-41.9400000,0,3.1962100,,,0,5644.4000000,,,,,,,,8.9362000,0.012,-0.012,0,144.2970000,,,0,6858.5000000,584.6000000,-584.6000000,0,1.5700000,,,0
10,PC,-3.2970000,0.319,-0.319,0,4.8490000,0.358,-0.358,0,2459229.2309240,0.000389,-0.000389,0,1.9600277,0.0000025,-0.0000025,0,2.0065257,0.0505910,-0.0505910,0,1707.6272693,49.6012230,-49.6012230,0,,,,0,1063.3422958,,,,1456.4246534,,,,8.4331000,0.028,-0.028,0,866.1470000,172.0970000,-172.0970000,0,8868.7000000,809.8000000,-809.8000000,0,,,,0
