koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
CONFIRMED,CANDIDATE,1,9.48803557,0.00002775,-0.00002775,170.53875,0.00216,-0.00216,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,793,0,0,93.59,29.45,-16.65,35.8,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,15.347,9.48806332,9.48800782,9.48806332,9.48800782,170.54091,170.53659,3.0394,2.8756,635.3,596.3,2.52,2.11,793,793,123.04,76.94,5536,5374,4.531,4.371,1.032,0.866
CONFIRMED,CANDIDATE,0.969,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443,0,0,9.11,2.87,-1.62,25.8,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,15.347,54.4186306,54.4181348,54.4186306,54.4181348,162.51736,162.51032,4.623,4.391,910.3,839.3,3.15,2.64,443,443,11.98,7.49,5536,5374,4.531,4.371,1.032,0.866
CANDIDATE,CANDIDATE,0,19.89913995,0.00001494,-0.00001494,175.850252,0.000581,-0.000581,1.7822,0.0341,-0.0341,10829,171,-171,14.6,3.92,-1.31,638,0,0,39.3,31.04,-10.49,76.3,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,15.436,19.89915489,19.89912501,19.89915489,19.89912501,175.850833,175.849671,1.8163,1.7481,11000,10658,18.52,13.29,638,638,70.34,28.81,6011,5677,4.588,4.368,1.101,0.79
FALSE POSITIVE,FALSE POSITIVE,0,1.736952453,0.000000263,-0.000000263,170.307565,0.000115,-0.000115,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395,0,0,891.96,668.95,-230.35,505.6,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,15.597,1.736952716,1.73695219,1.736952716,1.73695219,170.30768,170.30745,2.41178,2.40104,8092,8066.4,41.96,30.63,1395,1395,1560.91,661.61,5962,5631,4.617,4.396,0.992,0.724
CONFIRMED,CANDIDATE,1,2.525591777,0.000003761,-0.000003761,171.59555,0.00113,-0.00113,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406,0,0,926.16,874.33,-314.24,40.9,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,15.509,2.525595538,2.525588016,2.525595538,2.525588016,171.59668,171.59442,1.6965,1.6125,620.2,586.4,3.63,2.4,1406,1406,1800.49,611.92,6200,5820,4.508,4.228,1.38,0.913
CONFIRMED,CANDIDATE,1,11.09432054,0.00002036,-0.00002036,171.20116,0.00141,-0.00141,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835,0,0,114.81,112.85,-36.7,66.5,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,11.0943409,11.09430018,11.0943409,11.09430018,171.20257,171.19975,4.6555,4.5335,1541.7,1493.3,5.17,3.48,835,835,227.66,78.11,6235,5814,4.54,4.257,1.287,0.867
CONFIRMED,CANDIDATE,1,4.13443512,0.00001046,-0.00001046,172.97937,0.0019,-0.0019,3.1402,0.0673,-0.0673,686,18.7,-18.7,2.77,0.9,-0.3,1160,0,0,427.65,420.33,-136.7,40.2,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,4.13444558,4.13442466,4.13444558,4.13442466,172.98127,172.97747,3.2075,3.0729,704.7,667.3,3.67,2.47,1160,1160,847.98,290.95,6235,5814,4.54,4.257,1.287,0.867
CONFIRMED,CANDIDATE,0.992,2.56658897,0.00001781,-0.00001781,179.55437,0.00461,-0.00461,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360,0,0,807.74,793.91,-258.2,15,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,15.714,2.56660678,2.56657116,2.56660678,2.56657116,179.55898,179.54976,2.594,2.264,243.3,209.7,2.11,1.42,1360,1360,1601.65,549.54,6235,5814,4.54,4.257,1.287,0.867
FALSE POSITIVE,FALSE POSITIVE,0,7.36178958,0.00002128,-0.00002128,132.25053,0.00253,-0.00253,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342,0,0,767.22,349.28,-365.49,47.7,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483,12.66,7.36181086,7.3617683,7.36181086,7.3617683,132.25306,132.248,5.158,4.886,239.5,227.9,45.66,29.54,1342,1342,1116.5,401.73,6338,6103,4.168,3.888,2.28,1.475
CONFIRMED,CANDIDATE,1,16.06864674,0.00001088,-0.00001088,173.621937,0.000517,-0.000517,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600,0,0,30.75,4.46,-6.66,161.9,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,16.06865762,16.06863586,16.06865762,16.06863586,173.622454,173.62142,3.5588,3.5106,4947.6,4881,5.98,5.27,600,600,35.21,24.09,5106,4948,4.568,4.457,0.881,0.776
