default_flag,disposition,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
0,CONFIRMED,1,41.68864400000,0.00335300000,-0.00341900000,0,2.35545351,0.30999992,-0.16677291,0,0.21013949,0.02765634,-0.01487848,0,0.956122,0.098585,-0.054675,0,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490
0,CONFIRMED,1,41.68550000000,0.00300000000,-0.00310000000,0,2.23000000,0.14000000,-0.11000000,0,0.19894727,0.01248996,-0.00981354,0,0.928000,0.055000,-0.040000,0,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490
1,CONFIRMED,1,41.68550000000,0.00300000000,-0.00300000000,0,2.57807000,0.11209000,-0.11209000,0,0.23000000,0.01000000,-0.01000000,0,1.080000,0.060000,-0.060000,0,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490
1,CANDIDATE,0,2.30183000000,0.00028000000,-0.00030000000,0,1.12000000,0.11000000,-0.08000000,0,0.09990000,0.00980000,-0.00700000,0,0.762602,0.053651,-0.037585,0,97.17950000,0.46420000,-0.45980000,11.7270000,0.0460000,-0.0460000,9.2200000,0.0190000,-0.0190000,11.3995000,0.0013070,-0.0013070
0,CANDIDATE,0,2.30236800000,0.00010500000,-0.00010300000,0,1.31258765,0.52417700,-0.12081424,0,0.12000000,0.05000000,-0.01000000,0,0.710995,0.018609,-0.020398,0,97.17950000,0.46420000,-0.45980000,11.7270000,0.0460000,-0.0460000,9.2200000,0.0190000,-0.0190000,11.3995000,0.0013070,-0.0013070
1,CANDIDATE,0,1.19474880000,,,0,4.19000000,,,0,0.37380676,,,0,0.570000,,,0,290.06200000,18.35600000,-16.32500000,19.2100000,0.2000000,-0.2000000,14.2300000,0.0700000,-0.0700000,17.8892000,0.0016620,-0.0016620
0,CANDIDATE,0,6.17836900000,0.00019500000,-0.00017200000,0,9.91257877,0.52940607,-0.36218238,0,0.88000000,0.05000000,-0.03000000,0,0.789478,0.025322,-0.017327,0,117.70400000,0.77800000,-0.76700000,11.7330000,0.0460000,-0.0460000,9.4300000,0.0210000,-0.0210000,11.4806000,0.0004780,-0.0004780
1,CANDIDATE,0,6.17887000000,0.00007000000,-0.00007000000,0,8.84000000,0.14000000,-0.13000000,0,0.78900000,0.01200000,-0.01200000,0,0.849432,0.053904,-0.052076,0,117.70400000,0.77800000,-0.76700000,11.7330000,0.0460000,-0.0460000,9.4300000,0.0210000,-0.0210000,11.4806000,0.0004780,-0.0004780
1,CANDIDATE,0,1.17589000000,0.00010000000,-0.00010000000,0,0.86000000,0.18000000,-0.26000000,0,0.07700000,0.01600000,-0.02300000,0,0.309000,0.057000,-0.070000,0,166.58440000,,,16.6400000,0.2000000,-0.2000000,11.3970000,0.0230000,-0.0230000,,,
1,CANDIDATE,0,10.69660000000,0.00200000000,-0.00210000000,0,1.45000000,0.18000000,-0.36000000,0,0.12900000,0.01600000,-0.03200000,0,0.588000,0.041000,-0.015000,0,212.29100000,1.40800000,-1.39000000,14.3460000,0.1830000,-0.1830000,11.4300000,0.0230000,-0.0230000,13.9562000,0.0005350,-0.0005350
1,CANDIDATE,0,1.53741150000,0.00000620000,-0.00000610000,0,45.00000000,12.00000000,-17.00000000,0,4.00000000,1.10000000,-1.50000000,0,1.599000,0.047000,-0.044000,0,666.23000000,22.91700000,-21.46700000,12.3820000,0.0920000,-0.0920000,10.7970000,0.0240000,-0.0240000,12.0464000,0.0012900,-0.0012900
